"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,6500000,4e+06,1.1e+07
2015-04-26,6500000,4e+06,2e+07
2015-04-27,8700000,4090000,2e+07
2015-04-28,6500000,4090000,2e+07
2015-04-29,5500000,3995000,1.1e+07
2015-04-30,6500000,3990000,1.1e+07
2015-05-01,7e+06,3990000,1.1e+07
2015-05-02,5e+06,3940000,1e+07
2015-05-03,5e+06,3990000,1e+07
2015-05-04,6900000,3990000,1.1e+07
2015-05-05,5e+06,3500000,1e+07
2015-05-06,5e+06,3990000,1.1e+07
2015-05-07,5e+06,3950000,1.1e+07
2015-05-10,6500000,4031000,2e+07
2015-05-11,5e+06,4e+06,1.1e+07
2015-05-12,5e+06,4032000,2e+07
2015-05-13,6700000,3900000,2e+07
2015-05-15,5e+06,3800000,2e+07
2015-05-16,4250000,3900000,44888000
2015-05-17,5e+06,3700000,44888000
2015-05-18,1.1e+07,4250000,108770000
2015-05-19,5e+06,3500000,2e+07
2015-05-20,1.9e+07,9989000,108770000
2015-05-21,6e+06,3700000,44888000
2015-05-24,9990000,7500000,44888000
