"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,9000,9000,10000
2015-04-26,9000,9000,10160
2015-04-27,9800,9000,11999
2015-04-28,9800,9000,11999
2015-04-29,9800,9000,11999
2015-04-30,9000,9000,12000
2015-05-01,10000,9000,12000
2015-05-02,9000,8500,11785
2015-05-03,9000,8500,10160
2015-05-04,9000,8300,10160
2015-05-05,9000,8000,10000
2015-05-06,9000,7900,10000
2015-05-07,8217,7000,10000
2015-05-10,8217,7000,10000
2015-05-11,8217,7000,10000
2015-05-12,8217,7000,10160
2015-05-13,8217,7000,10160
2015-05-15,8217,8000,10000
2015-05-16,8458,8217,10350
2015-05-17,8458,8217,10350
2015-05-18,8458,8217,10350
2015-05-19,9500,8217,10350
2015-05-20,10000,9500,12000
2015-05-21,10000,9500,12000
2015-05-24,11300,10000,12000
