"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,5000,4400,8888
2015-04-26,4999,4200,8862
2015-04-27,5222,4000,11200
2015-04-28,5500,4500,11200
2015-04-29,4748,4000,7887
2015-04-30,4700,4000,7888
2015-05-01,4500,4000,7888
2015-05-02,4750,4000,7952
2015-05-03,4748,4000,7888
2015-05-04,4750,4000,7888
2015-05-05,4750,4000,7776
2015-05-06,4950,4000,7799
2015-05-07,4500,4000,5570
2015-05-10,4500,3500,5500
2015-05-11,4500,4000,5500
2015-05-12,4500,3699,5595
2015-05-13,4000,3500,5570
2015-05-15,4600,3898,7888
2015-05-16,4600,3900,7888
2015-05-17,4000,3500,7799
2015-05-18,4000,3499,6000
2015-05-19,4000,3200,5200
2015-05-20,4000,3449.9,5595
2015-05-21,4000,3000,5200
2015-05-24,4600,3200,7952
