"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,49000,38487.9,65000
2015-04-26,48488,37500,65000
2015-04-27,48488,37500,65000
2015-04-28,47848,38000,65000
2015-04-29,47848,37500,65000
2015-04-30,48488,38000,65000
2015-05-01,47848,38000,65000
2015-05-02,48000,38000,65000
2015-05-03,47848,37500,65000
2015-05-04,47848,40440,65000
2015-05-05,47848,40000,65000
2015-05-06,49987,41478,67000
2015-05-07,50000,41478,67000
2015-05-10,50000,46300,73835
2015-05-11,50000,46300,73835
2015-05-12,49987,46000,73835
2015-05-13,49987,44000,73835
2015-05-15,48488,40000,68290
2015-05-16,48488,38000,67000
2015-05-17,48488,40000,67000
2015-05-18,48488,40000,67000
2015-05-19,48488,40000,60000
2015-05-20,50000,45000,73835
2015-05-21,50000,45000,73835
2015-05-24,50000,46800,73835
