"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,1e+06,799999,1500000
2015-04-26,1e+06,799999,2e+06
2015-04-27,950000,735000,2e+06
2015-04-28,799999,7e+05,1300000
2015-04-29,799999,7e+05,1300000
2015-04-30,799999,688888,1500000
2015-05-01,950000,689000,2e+06
2015-05-02,950000,688888,2e+06
2015-05-03,950000,679900,2e+06
2015-05-04,9e+05,688890,1305990
2015-05-05,950000,7e+05,2e+06
2015-05-06,1199990,749590,2e+06
2015-05-07,1199990,750000,2200000
2015-05-10,950000,919000,2e+06
2015-05-11,1199990,958000,2200000
2015-05-12,1199990,950000,2e+06
2015-05-13,1e+06,950000,2e+06
2015-05-15,1e+06,950000,2e+06
2015-05-16,970000,945000,2e+06
2015-05-17,970000,945000,2e+06
2015-05-18,970000,945000,2e+06
2015-05-19,970000,899999,2e+06
2015-05-20,1e+06,945000,2e+06
2015-05-21,1e+06,945000,2e+06
2015-05-24,1608340,1298000,2200000
