"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,1165,999,1750
2015-04-26,1088,999,1473
2015-04-27,1070,999,1473
2015-04-28,1070,1000,1473
2015-04-29,1088,1000,1473
2015-04-30,1100,1000,1599
2015-05-01,1088,1000,1473
2015-05-02,1088,1000,1473
2015-05-03,1070,1000,1473
2015-05-04,1050,1000,1473
2015-05-05,1050,999,1473
2015-05-06,1088,1040,1473
2015-05-07,1096,1045,1473
2015-05-10,1096,1037,1473
2015-05-11,1100,1049.6,1473
2015-05-12,1165,1040,1750
2015-05-13,1070,1045,1473
2015-05-15,1090,1045,1473
2015-05-16,1088,1040,1599
2015-05-17,1050,1000,1473
2015-05-18,1070,1040,1750
2015-05-19,1088,1040,1750
2015-05-20,1088,1040,1750
2015-05-21,1088,1040,1750
2015-05-24,1088,1040,1750
