"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,5e+06,1628000,1e+08
2015-04-26,5e+06,1555000,1e+08
2015-04-27,5e+06,1500000,1e+08
2015-04-28,2900000,1449990,14500000
2015-04-29,2e+06,1400000,1e+07
2015-04-30,2900000,1449990,1e+08
2015-05-01,1868000,1300000,1e+07
2015-05-02,1685590,1200000,1e+07
2015-05-03,1700000,1300000,1e+07
2015-05-04,2900000,1500000,1e+08
2015-05-05,2e+06,1300000,1e+08
2015-05-06,2900000,1300000,1e+07
2015-05-07,3e+06,1449000,14500000
2015-05-10,1868000,1250000,1e+07
2015-05-11,1685590,1200000,1e+07
2015-05-12,1868000,1300000,1.9e+07
2015-05-13,1868000,1200000,1e+07
2015-05-15,1700000,1200000,1e+07
2015-05-16,2e+06,1300000,1.9e+07
2015-05-17,3e+06,1300000,1.1e+08
2015-05-18,3e+06,1300000,1.1e+08
2015-05-19,2e+06,1200000,1e+08
2015-05-20,1700000,1100000,6e+07
2015-05-21,1868000,1150000,6e+07
2015-05-24,2900000,1300000,1e+08
