"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,430000,370000,4e+06
2015-04-26,405356,330000,4e+06
2015-04-27,430000,370000,4e+06
2015-04-28,430000,325500,4e+06
2015-04-29,430000,330000,4e+06
2015-04-30,405356,295000,4e+06
2015-05-01,425000,325500,4e+06
2015-05-02,425000,325500,4e+06
2015-05-03,425000,325500,4e+06
2015-05-04,430000,370000,4e+06
2015-05-05,425000,339480,4e+06
2015-05-06,430000,370000,4e+06
2015-05-07,425000,305999,4e+06
2015-05-10,425000,329928,4e+06
2015-05-11,425000,324000,4e+06
2015-05-12,425000,329928,4e+06
2015-05-13,4e+05,299999,2499990
2015-05-15,405356,280000,2499990
2015-05-16,4e+05,280000,2499990
2015-05-17,405356,280000,2499990
2015-05-18,4e+05,279000,2499990
2015-05-19,4e+05,279000,4e+06
2015-05-20,4e+05,279000,4e+06
2015-05-21,405356,280000,4e+06
2015-05-24,405356,280000,4e+06
