"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,2.88e+08,2.5e+08,3.4e+08
2015-04-26,2.88e+08,2.5e+08,3.4e+08
2015-04-27,2.88e+08,2.5e+08,3.4e+08
2015-04-28,2.88e+08,2.23e+08,3.4e+08
2015-04-29,2.88e+08,2.23e+08,3.4e+08
2015-04-30,2.88e+08,160100000,3.4e+08
2015-05-01,2.88e+08,2.23e+08,3.4e+08
2015-05-02,2.88e+08,1.6e+08,3.4e+08
2015-05-03,2.88e+08,1.6e+08,3.4e+08
2015-05-04,2.88e+08,2e+08,3.4e+08
2015-05-05,2.88e+08,2e+08,3.4e+08
2015-05-06,2.88e+08,2e+08,3.4e+08
2015-05-07,2.88e+08,2e+08,3.4e+08
2015-05-10,2.88e+08,1.6e+08,3.4e+08
2015-05-11,280485000,1.56e+08,3.4e+08
2015-05-12,2.5e+08,1.56e+08,3.4e+08
2015-05-13,2.5e+08,1.56e+08,3.4e+08
2015-05-15,2.88e+08,1.18e+08,3.4e+08
2015-05-16,2.88e+08,1.45e+08,3.4e+08
2015-05-17,2.88e+08,1.45e+08,3.4e+08
2015-05-18,2.88e+08,1.45e+08,3.4e+08
2015-05-19,2.88e+08,1.56e+08,3.4e+08
2015-05-20,2.88e+08,1.56e+08,3.4e+08
2015-05-21,2.88e+08,1.56e+08,3.4e+08
2015-05-24,2.88e+08,1.56e+08,3.4e+08
