"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,4270000,3650000,1e+07
2015-04-26,5e+06,3650000,1e+07
2015-04-27,4200000,3650000,1e+07
2015-04-28,4e+06,3e+06,6e+06
2015-04-29,3500000,2799900,6e+06
2015-04-30,4100000,2990000,1e+07
2015-05-01,3e+06,2550000,5e+06
2015-05-02,3500000,2900000,1e+07
2015-05-03,3100000,2900000,6e+06
2015-05-04,3100000,2588490,4500000
2015-05-05,3e+06,2515000,4500000
2015-05-06,2990000,2500000,4270000
2015-05-07,3350000,2759900,6e+06
2015-05-10,3e+06,2520000,6e+06
2015-05-11,3e+06,2500000,5e+06
2015-05-12,3e+06,2450000,4500000
2015-05-13,3e+06,2500000,5e+06
2015-05-15,3500000,2581570,1e+07
2015-05-16,3100000,2400000,1e+07
2015-05-17,3e+06,2256140,5e+06
2015-05-18,2800000,2249000,4100000
2015-05-19,2450000,2190000,4100000
2015-05-20,2800000,2190000,4100000
2015-05-21,2800000,2200000,4100000
2015-05-24,3e+06,2336280,4100000
