"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,1e+07,2e+06,8888890000
2015-04-26,1e+07,4850000,8888890000
2015-04-27,1e+07,1750000,8888890000
2015-04-28,6e+06,1590000,3124120000
2015-04-29,4850000,1370000,1.9e+07
2015-04-30,6e+06,1400000,991990000
2015-05-01,5775340,1400000,3124120000
2015-05-02,5e+06,1340000,1e+09
2015-05-03,7500000,1400000,1.5e+09
2015-05-04,7500000,1660000,1.5e+09
2015-05-05,5250000,1400000,1.5e+09
2015-05-06,1e+07,2100000,3124120000
2015-05-07,7500000,1700000,3124120000
2015-05-10,6e+06,1400000,1.5e+09
2015-05-11,7500000,1700000,3124120000
2015-05-12,7500000,1400000,3124120000
2015-05-13,1e+07,1500000,3124120000
2015-05-15,6e+06,1300000,1e+09
2015-05-16,3e+06,1225000,1e+09
2015-05-17,3e+06,1250000,1e+09
2015-05-18,3e+06,1250000,1e+09
2015-05-19,5e+06,1250000,1e+09
2015-05-20,1700000,1200000,991990000
2015-05-21,1700000,1200000,991990000
2015-05-24,1e+07,1300000,3124120000
