"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,580,472,1000
2015-04-26,580,450,1000
2015-04-27,580,420,1000
2015-04-28,605,499,2000
2015-04-29,570,415,1000
2015-04-30,570,440,898
2015-05-01,535,400,1000
2015-05-02,480,370,744
2015-05-03,500,389,800
2015-05-04,480,356,800
2015-05-05,450,350,735
2015-05-06,570,440,1000
2015-05-07,540,400,1000
2015-05-10,550,370,1000
2015-05-11,535,390,1000
2015-05-12,490,333,744
2015-05-13,450,332,700
2015-05-15,489,339,700
2015-05-16,489,350,700
2015-05-17,480,350,700
2015-05-18,450,344,690
2015-05-19,489,350,700
2015-05-20,449.7,333,678
2015-05-21,450,340,700
2015-05-24,449.9,343,650
