"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,89900,80000,115000
2015-04-26,88488,78000,135555
2015-04-27,85000,77700,115000
2015-04-28,85000,70000,135555
2015-04-29,85000,74000,115000
2015-04-30,85000,74000,135555
2015-05-01,85000,64000,115000
2015-05-02,84776.9,65000,115000
2015-05-03,85000,68713,115000
2015-05-04,85000,68713,1e+05
2015-05-05,86142,65000,115000
2015-05-06,86142,65000,1e+05
2015-05-07,86142,73775,120000
2015-05-10,85000,73000,120000
2015-05-11,85000,73000,115000
2015-05-12,88488,74000,115000
2015-05-13,88488,77777,115000
2015-05-15,85000,74000,115000
2015-05-16,88488,74000,135000
2015-05-17,88488,74000,135000
2015-05-18,88488,74999,135555
2015-05-19,89000,74999,135555
2015-05-20,88488,74999,149742
2015-05-21,88488,74000,115000
2015-05-24,88488,74999,115000
