"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,150000,134000,229000
2015-04-26,147428,130000,229000
2015-04-27,140000,130000,225000
2015-04-28,150000,134999,229000
2015-04-29,147428,130000,229000
2015-04-30,140000,133000,225000
2015-05-01,140000,133000,225000
2015-05-02,147428,132000,225000
2015-05-03,147428,132000,225000
2015-05-04,150000,132000,225000
2015-05-05,150000,132000,225000
2015-05-06,213742,150000,264428
2015-05-07,213742,150000,264428
2015-05-10,181142,150000,264428
2015-05-11,181142,150000,213742
2015-05-12,160500,150000,213742
2015-05-13,159999,149000,213742
2015-05-15,159999,145000,222222
2015-05-16,159999,145000,222222
2015-05-17,159999,145000,213742
2015-05-18,159999,150000,213742
2015-05-19,159999,145000,213742
2015-05-20,159999,145000,213742
2015-05-21,159999,145000,213742
2015-05-24,154900,145000,213742
