"Day","Median","Lower.Quantile","Upper.Quantile"
2015-04-25,10500000,8800000,3e+07
2015-04-26,10500000,8800000,3e+07
2015-04-27,1.9e+07,8800000,3e+07
2015-04-28,1.9e+07,8800000,3e+07
2015-04-29,1.9e+07,8800000,3e+07
2015-04-30,10500000,8800000,3e+07
2015-05-01,10500000,8800000,3e+07
2015-05-02,10500000,8800000,3e+07
2015-05-03,10500000,8800000,3e+07
2015-05-04,10500000,8800000,3e+07
2015-05-05,10500000,8800000,3e+07
2015-05-06,10500000,9e+06,3e+07
2015-05-07,10500000,8900000,3e+07
2015-05-10,10500000,8500000,3e+07
2015-05-11,10500000,8500000,3e+07
2015-05-12,10500000,8500000,3e+07
2015-05-13,10500000,8500000,3e+07
2015-05-15,1e+07,8500000,3e+07
2015-05-16,10500000,8500000,3e+07
2015-05-17,1e+07,8500000,3e+07
2015-05-18,1.9e+07,9e+06,3e+07
2015-05-19,10500000,8900000,3e+07
2015-05-20,10500000,9e+06,3e+07
2015-05-21,10500000,8900000,3e+07
2015-05-24,1e+07,7e+06,3e+07
